name,gender
Vittorio De Sica,m
Janice Tunnell,f
Sharone Meir,m
Stephen Vaughan,m
Mark Gatiss,m
Stanley Kramer,m
Leslie Dilley,m
Billy Wilder,m
Andrew Lesnie,m
Kazuya Tsurumaki,m
Kristi Zea,f
Alessandro Cicognini,m
Julia Phillips,f
Alessandro Cicognini,m
Saul Bass,m
Steven Moffat,m
Dean Cundey,m
Götz Weidner,m
Mike Fenton,m
Ryūnosuke Akutagawa,m
Kerry Barden,m
Lee Seong-jin,m
Dean Eilertson,m
David Tattersall,m
Clint Mansell,m
Steve Kloves,m
Jon Favreau,m
Ben Nye,m
John Howe,m
Andrew Mason,m
Roberto Rossellini,m
Makoto Shinkai,m
Barrie M. Osborne,m
Danny Elfman,m
Michael Simpson,m
Kheiron,m
John Williams,m
Ben Burtt,m
Kevin Reher,m
Gunnar Fischer,m
Saul Zaentz,m
Stephen Goldblatt,m
Leslie Dilley,m
Roberto Benigni,m
Fred Lau,m
Beth David,f
Thea von Harbou,f
Terry Rawlings,m
William Tyrer,m
Giuseppe Rotunno,m
Hal Gausman,m
Christopher Miller,m
Dean Tavoularis,m
Joel Silver,m
James Liggat,m
Ted Haworth,m
Kenneth Karman,m
Charles D. Hall,m
W. Wallace Kelley,m
John Lasseter,m
Tullio Pinelli,m
Jonathan Roberts,m
Ridley Scott,m
Robert Schenkkan,m
Christopher H. Warner,m
Robert Burks,m
Takafumi Watanabe,m
Takeshi Seyama,m
Franz Waxman,m
Francis J. Scheid,m
Carla Hool,f
Tom Rolf,m
Hwang Jo-yun,m
Makoto Shinkai,m
Daniel Rezende,m
Graham King,m
Stephen King,m
Fritz Lang,m
Benito Stefanelli,m
Farciot Edouart,m
George Lucas,m
Lilly Wachowski,f
Roland Totheroh,m
David Yates,m
Carlo Simi,m
Max L. Raab,m
Gabriel Figueroa,m
Bia Salgado,f
Aaron Ryder,m
Ennio Flaiano,m
Allan Starski,m
Klaus Doldinger,m
Aditya Chopra,m
Steven Zaillian,m
Angelo Ragusa,m
William Cameron Menzies,m
Martin Scorsese,m
Harry Crocker,m
Ronald Víctor García,m
Clem Beauchamp,m
Milton Krasner,m
Quentin Tarantino,m
Harper Lee,f
Park Chan-wook,m
Aaron Stell,m
Gunnar Fischer,m
Barrie M. Osborne,m
Sergio Leone,m
Billy Hopkins,m
Yukihiro Shibutani,m
Ron von Blomberg,m
David V. Lester,m
John Mollo,m
Takao Saitô,m
Michael Douglas,m
Charles C. Coleman,m
Leonard Bernstein,m
Thomas Vinterberg,m
J. Russell Spencer,m
Bob Gale,m
Max Steiner,m
Nadine Labaki,f
William A. Farley,m
Hiromichi Horikawa,m
Michael Kaplan,m
Gene Kelly,m
Ralph Nelson,m
James Newton Howard,m
Lawrence Turman,m
Rena DeAngelo,f
Jesper Tøffner,m
Tooru Hara,m
André Turpin,m
Emma Thomas,f
